row_id,probe,condition,video_id,question_id,category_key,category_label,model_key,model_name,a_prior,a_visual,chosen_answer_type,is_correct,supports_logprob,logprob_prior,logprob_visual
1,I-A-category,reversed,glass_breaking_v_00,glass_breaking_q_00,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.4999999999999998,-2.3
2,I-A-category,reversed,glass_breaking_v_01,glass_breaking_q_01,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.47,-2.27
3,I-A-category,reversed,glass_breaking_v_02,glass_breaking_q_02,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.4399999999999997,-2.2399999999999998
4,I-A-category,reversed,glass_breaking_v_03,glass_breaking_q_03,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.41,-2.21
5,I-A-category,reversed,glass_breaking_v_04,glass_breaking_q_04,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.3799999999999997,-2.1799999999999997
6,I-A-category,reversed,glass_breaking_v_05,glass_breaking_q_05,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.4999999999999998,-2.3
7,I-A-category,reversed,glass_breaking_v_06,glass_breaking_q_06,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.87,-2.27
8,I-A-category,reversed,glass_breaking_v_07,glass_breaking_q_07,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.84,-2.2399999999999998
9,I-A-category,reversed,glass_breaking_v_08,glass_breaking_q_08,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.81,-2.21
10,I-A-category,reversed,glass_breaking_v_09,glass_breaking_q_09,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.78,-2.1799999999999997
11,I-A-category,reversed,glass_breaking_v_10,glass_breaking_q_10,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.9,-2.3
12,I-A-category,reversed,glass_breaking_v_11,glass_breaking_q_11,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.87,-2.27
13,I-A-category,reversed,glass_breaking_v_12,glass_breaking_q_12,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.84,-2.2399999999999998
14,I-A-category,reversed,glass_breaking_v_13,glass_breaking_q_13,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.81,-2.21
15,I-A-category,reversed,glass_breaking_v_14,glass_breaking_q_14,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.78,-2.1799999999999997
16,I-A-category,reversed,glass_breaking_v_15,glass_breaking_q_15,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.9,-2.3
17,I-A-category,reversed,glass_breaking_v_00,glass_breaking_q_00,glass_breaking,Glass breaking,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.4999999999999998,-2.3
18,I-A-category,reversed,glass_breaking_v_01,glass_breaking_q_01,glass_breaking,Glass breaking,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.47,-2.27
19,I-A-category,reversed,glass_breaking_v_02,glass_breaking_q_02,glass_breaking,Glass breaking,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.4399999999999997,-2.2399999999999998
20,I-A-category,reversed,glass_breaking_v_03,glass_breaking_q_03,glass_breaking,Glass breaking,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.41,-2.21
21,I-A-category,reversed,glass_breaking_v_04,glass_breaking_q_04,glass_breaking,Glass breaking,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.3799999999999997,-2.1799999999999997
22,I-A-category,reversed,glass_breaking_v_05,glass_breaking_q_05,glass_breaking,Glass breaking,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.4999999999999998,-2.3
23,I-A-category,reversed,glass_breaking_v_06,glass_breaking_q_06,glass_breaking,Glass breaking,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.47,-2.27
24,I-A-category,reversed,glass_breaking_v_07,glass_breaking_q_07,glass_breaking,Glass breaking,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.84,-2.2399999999999998
25,I-A-category,reversed,glass_breaking_v_08,glass_breaking_q_08,glass_breaking,Glass breaking,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.81,-2.21
26,I-A-category,reversed,glass_breaking_v_09,glass_breaking_q_09,glass_breaking,Glass breaking,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.78,-2.1799999999999997
27,I-A-category,reversed,glass_breaking_v_10,glass_breaking_q_10,glass_breaking,Glass breaking,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.9,-2.3
28,I-A-category,reversed,glass_breaking_v_11,glass_breaking_q_11,glass_breaking,Glass breaking,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.87,-2.27
